Date,Open,High,Low,Close,Volume,Change,Change Percent,VWAP
10/27/2023,166.91,168.96,166.83,168.22,58499129,1.31,0.78485,167.73
10/30/2023,169.02,171.17,168.87,170.29,51131000,1.27,0.75139,169.8375
10/31/2023,169.35,170.9,167.9,170.77,44846017,1.42,0.8385,169.73
11/1/2023,171,174.23,170.12,173.97,56934906,2.97,1.74,172.33
11/2/2023,175.52,177.78,175.46,177.57,77334800,2.05,1.17,176.5825
11/3/2023,174.24,176.82,173.35,176.65,79829246,2.41,1.38,175.265
11/6/2023,176.38,179.43,176.21,179.23,63841310,2.85,1.62,177.8125
11/7/2023,179.18,182.44,178.97,181.82,70530000,2.64,1.47,180.6025
11/8/2023,182.35,183.45,181.59,182.89,49340300,0.54,0.29613,182.57
11/9/2023,182.96,184.12,181.81,182.41,53763540,-0.55,-0.30061,182.825
11/10/2023,183.97,186.57,183.53,186.4,66177922,2.43,1.32,185.1175
11/13/2023,185.82,186.03,184.21,184.8,43627519,-1.02,-0.54892,185.215
11/14/2023,187.7,188.11,186.3,187.44,60108400,-0.26,-0.13852,187.3875
11/15/2023,187.85,189.5,187.78,188.01,53790500,0.165,0.08517434,188.285
11/16/2023,189.57,190.96,188.65,189.71,54412915,0.14,0.07385135,189.7225
11/17/2023,190.25,190.38,188.57,189.69,50941404,-0.56,-0.29435,189.7225
11/20/2023,189.89,191.91,189.88,191.45,46538614,1.56,0.82153,190.7825
11/21/2023,191.41,191.52,189.74,190.64,38134500,-0.77,-0.40228,190.8275
11/22/2023,191.49,192.93,190.83,191.31,39630011,-0.18,-0.09399969,191.64
11/24/2023,190.87,190.9,189.25,189.97,24048344,-0.9,-0.47153,190.2475
11/27/2023,189.92,190.67,188.9,189.79,40552609,-0.13,-0.06844987,189.82
11/28/2023,189.78,191.08,189.4,190.4,38415419,0.62,0.32669,190.165
11/29/2023,190.9,192.09,188.97,189.37,43014224,-1.53,-0.80147,190.3325
11/30/2023,189.84,190.32,188.19,189.95,48794400,0.11,0.05794353,189.575
12/1/2023,190.33,191.56,189.23,191.24,45704823,0.91,0.47812,190.59
12/4/2023,189.98,190.05,187.45,189.43,43389519,-0.55,-0.2895,189.2275
12/5/2023,190.21,194.4,190.18,193.42,66628400,3.21,1.69,192.0525
12/6/2023,194.45,194.76,192.11,192.32,41089737,-2.13,-1.1,193.41
12/7/2023,193.63,195,193.59,194.27,47477700,0.64,0.33053,194.1225
12/8/2023,194.2,195.99,193.67,195.71,53406400,1.51,0.77755,194.8925
12/11/2023,193.11,193.49,191.42,193.18,60943700,0.07,0.03624877,192.8
12/12/2023,193.08,194.72,191.72,194.71,52696900,1.63,0.84421,193.5575
12/13/2023,195.09,198,194.85,197.96,70404200,2.87,1.47,196.475
12/14/2023,198.02,199.62,196.16,198.11,66831600,0.09,0.04544995,197.9775
12/15/2023,197.53,198.4,197,197.57,128538401,0.04,0.02025009,197.625
12/18/2023,196.09,196.63,194.39,195.89,55751900,-0.2,-0.10199,195.75
12/19/2023,196.16,196.95,195.89,196.94,40714100,0.78,0.39763,196.485
12/20/2023,196.9,197.68,194.83,194.83,52242815,-2.07,-1.05,196.06
12/21/2023,196.1,197.08,193.5,194.68,46482549,-1.42,-0.72412,195.34
12/22/2023,195.18,195.41,192.97,193.6,37149600,-1.58,-0.80951,194.29
12/26/2023,193.61,193.89,192.83,193.05,28919310,-0.56,-0.28924,193.345
12/27/2023,192.49,193.5,191.09,193.15,48087700,0.66,0.34287,192.5575
12/28/2023,194.14,194.66,193.17,193.58,34049900,-0.56,-0.28845,193.8875
12/29/2023,193.9,194.4,191.73,192.53,42672148,-1.37,-0.70655,193.14
1/2/2024,187.15,188.44,183.89,185.64,82488700,-1.51,-0.80684,186.28
1/3/2024,184.22,185.88,183.43,184.25,58414500,0.03,0.01628488,184.445
1/4/2024,182.15,183.09,180.88,181.91,71983600,-0.24,-0.13176,182.0075
1/5/2024,181.99,182.76,180.17,181.18,62379700,-0.81,-0.44508,181.525
1/8/2024,182.09,185.6,181.5,185.56,59144500,3.47,1.91,183.6875
1/9/2024,183.92,185.15,182.73,185.14,42841809,1.22,0.66333,184.235
1/10/2024,184.35,186.4,183.92,186.19,46792908,1.84,0.9981,185.215
1/11/2024,186.54,187.05,183.62,185.59,49128408,-0.95,-0.50927,185.7
1/12/2024,186.06,186.74,185.19,185.92,40477800,-0.14,-0.07524454,185.9775
1/16/2024,182.16,184.26,180.93,183.63,65603041,1.47,0.80698,182.745
1/17/2024,181.27,182.93,180.3,182.68,47317433,1.41,0.77785,181.795
1/18/2024,186.09,189.14,185.83,188.63,78005800,2.54,1.36,187.4225
1/19/2024,189.33,191.95,188.82,191.56,68903000,2.23,1.18,190.415
1/22/2024,192.3,195.33,192.26,193.89,60133900,1.59,0.82683,193.445
1/23/2024,195.02,195.75,193.83,195.18,42355600,0.16,0.08204287,194.945
1/24/2024,195.42,196.38,194.34,194.5,53631316,-0.92,-0.47078,195.16
1/25/2024,195.22,196.27,193.11,194.17,54822126,-1.05,-0.53785,194.6925
1/26/2024,194.27,194.76,191.94,192.42,44594011,-1.85,-0.95228,193.3475
1/29/2024,192.01,192.2,189.58,191.73,47145622,-0.28,-0.14583,191.38
1/30/2024,190.94,191.8,187.47,188.04,55859400,-2.9,-1.52,189.5625
1/31/2024,187.04,187.1,184.35,184.4,55467803,-2.64,-1.41,185.7225
2/1/2024,183.99,186.95,183.82,186.86,64885408,2.88,1.56,185.405
2/2/2024,179.86,187.33,179.25,185.85,102551700,5.99,3.33,183.0725
2/5/2024,188.15,189.25,185.84,187.68,69668820,-0.47,-0.2498,187.73
2/6/2024,186.86,189.31,186.77,189.3,43490800,2.44,1.31,188.06
2/7/2024,190.64,191.05,188.61,189.41,53439000,-1.23,-0.6452,189.9275
2/8/2024,189.39,189.54,187.35,188.32,40962046,-1.06,-0.56497,188.65
2/9/2024,188.65,189.99,188,188.85,45155216,0.2,0.10602,188.8725
2/12/2024,188.42,188.67,186.79,187.15,41781934,-1.26,-0.67403,187.7575
2/13/2024,185.77,186.21,183.51,185.04,56529529,-0.73,-0.39296,185.1325
2/14/2024,185.32,185.53,182.44,184.15,54630517,-1.17,-0.63134,184.36
2/15/2024,183.55,184.49,181.35,183.86,65434500,0.31,0.16889,183.3125
